report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2023-0008803,2023-10-07,09:44:00,CHESLEY AVE,CHERRY ST,Saturday,,Auto R/W Violation,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,21806(a),2023-10-07 09:44:00,"CHESLEY AVE AND CHERRY ST, RICHMOND, CA",37.954058,-122.362378,0.94,intersection,Richmond,CA,Contra Costa County,94801
2023-0008818,2023-10-07,16:09:00,7TH ST,LUCAS AVE,Saturday,,Driving Under Influence,No,Broadside,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,23152(a),2023-10-07 16:09:00,"7TH ST AND LUCAS AVE, RICHMOND, CA",37.944445,-122.362683,1.0,intersection,Richmond,CA,Contra Costa County,94801
2023-0008824,2023-10-07,21:47:00,10TH ST,PENNSYLVANIA AVE,Saturday,,Unknown,No,Not Stated,Not Stated,Not Stated,,5,,2023-10-07 21:47:00,"10TH ST AND PENNSYLVANIA AVE, RICHMOND, CA",37.942616,-122.359951,1.0,intersection,Richmond,CA,Contra Costa County,94801
2023-0008829,2023-10-08,04:19:00,MCBRYDE AVE,24TH ST,Sunday,,Unsafe Speed,Felony,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2023-10-08 04:19:00,"MCBRYDE AVE AND 24TH ST, RICHMOND, CA",37.947056,-122.345323,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008836,2023-10-08,10:50:00,OHIO AVE,8TH ST,Sunday,,Driving Under Influence,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,23152(a),2023-10-08 10:50:00,"OHIO AVE AND 8TH ST, RICHMOND, CA",37.930824,-122.361946,0.72,intersection,Richmond,CA,Contra Costa County,94804
2023-0008849,2023-10-08,20:01:00,MACDONALD AVE,34TH ST,Sunday,,Improper Turning,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2023-10-08 20:01:00,"MACDONALD AVE AND 34TH ST, RICHMOND, CA",37.934224,-122.33695,1.0,intersection,Richmond,CA,Contra Costa County,94805
2023-0008932,2023-10-10,19:20:00,PARKWAY BLVD,BELLO DR,Tuesday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,OOJ,22350,2023-10-10 19:20:00,"PARKWAY BLVD AND BELLO DR, RICHMOND, CA",37.768985,-121.991588,0.57,intersection,San Ramon,CA,Contra Costa County,94583
2023-0008973,2023-10-11,16:06:00,RICHMOND PKWY,W GERTRUDE AVE,Wednesday,,Improper Turning,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,5,22107,2023-10-11 16:06:00,"RICHMOND PKWY AND W GERTRUDE AVE, RICHMOND, CA",37.954051,-122.373572,0.99,intersection,Richmond,CA,Contra Costa County,94801
2023-0008982,2023-10-12,00:15:00,CARLSON BLVD,I-80 E,Thursday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21801(a),2023-10-12 00:15:00,"CARLSON BLVD AND I-80 E, RICHMOND, CA",37.910637,-122.31674,0.76,intersection,Richmond,CA,Contra Costa County,94804
2023-0009003,2023-10-12,17:52:00,CASTRO RANCH RD,CONESTOGA WAY,Thursday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,9,22350,2023-10-12 17:52:00,"CASTRO RANCH RD AND CONESTOGA WAY, RICHMOND, CA",37.928538,-122.387183,1.0,street_center,Richmond,CA,Contra Costa County,94801
2023-0009016,2023-10-13,10:16:00,RICHMOND PKWY,ATLAS RD,Friday,,Not Stated,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21453(a),2023-10-13 10:16:00,"RICHMOND PKWY AND ATLAS RD, RICHMOND, CA",37.992886,-122.33739,0.86,intersection,San Pablo,CA,Contra Costa County,94806
